Title,TomatometerScore,AudienceScore,Rating,Genre,Director,R. Date (Theaters),R. Date (Streaming),Runtime
Dead Dicks,100.0,54.0,NR,horror,"ChrisBavota,LeePaulaSpringer",,2020-07-28,
Lake Michigan Monster,84.0,,NR,adventure,RylandBricksonColeTews,,2020-08-03,78.0
Don't Be Nice,100.0,86.0,NR,documentary,MaxPowers,2019-09-20,2020-07-19,96.0
Red Penguins,98.0,100.0,PG-13,documentary,GabePolsky,,2020-08-04,80.0
Gundala,83.0,77.0,NR,scifi,JokoAnwar,,2020-07-28,123.0
Calm With Horses (The Shadow Of Violence),94.0,,R,mysteryandthriller,NickRowland,2020-07-31,2020-07-31,101.0
The Secret: Dare To Dream,29.0,82.0,PG,drama,AndyTennant,,2020-07-31,107.0
Amulet,69.0,42.0,R,horror,RomolaGarai,2020-07-24,2020-07-23,99.0
Rebuilding Paradise,92.0,80.0,PG-13,documentary,RonHoward,,2020-07-31,95.0
The Fight,98.0,,PG-13,documentary,"ElyseSteinberg,JoshKriegman,EliB.Despres",2020-07-31,2020-07-30,96.0
Skin Walker,60.0,0.0,NR,horror,ChristianNeuman,2020-07-24,2020-08-02,90.0
The Rental,75.0,46.0,R,horror,DaveFranco,2020-07-24,2020-07-24,88.0
Most Wanted,69.0,47.0,R,crime,DanielRoby,2020-07-24,2020-07-24,125.0
Tijuana Jackson: Purpose Over Prison,67.0,,NR,comedy,RomanyMalco,2020-07-24,2020-07-24,96.0
Legacy Of Lies,86.0,59.0,R,action,AdrianBol,,2020-07-26,101.0
The Big Ugly,41.0,65.0,R,crime,ScottWiper,,2020-07-31,106.0
Deep Blue Sea 3,69.0,38.0,R,action,JohnPogue,,2020-07-05,99.0
Nothing But The Blood,0.0,,NR,horror,DanielTucker,,2020-08-04,89.0
Senior Love Triangle,88.0,,NR,drama,KellyBlatz,,2020-08-03,93.0
Deathstroke: Knights & Dragons,80.0,58.0,TV14,adventure,SungJinAhn,,2020-07-05,87.0
Helmut Newton: The Bad And The Beautiful,72.0,,NR,documentary,GerovonBoehm,,2020-07-24,93.0
Stars And Strife,90.0,,NR,documentary,DavidSmick,,2020-08-04,
Game Of Death,56.0,23.0,NR,horror,"SébastienLandry,LaurenceMorais-Lagace",2020-07-03,2020-07-14,73.0
We Are Little Zombies,92.0,,NR,drama,MakotoNagahisa,2020-07-10,2020-07-10,120.0
The Sunlit Night,33.0,,NR,romance,DavidWnendt,2020-07-17,2020-07-17,109.0
Skyman,63.0,,NR,scifi,DanielMyrick,2020-06-30,2020-07-07,93.0
Guest Artist,63.0,40.0,NR,drama,TimothyBusfield,,2020-07-19,74.0
"Family Romance, LLC",75.0,70.0,NR,drama,WernerHerzog,,2020-07-03,89.0
